ref_ID,alt_ID,bait_ID,perturbation
RNF6_1,RNF6_2,CCDC57,True
NCF2_1,NCF2_3,GOLGA2_ORF2,True
FGA_1,FGA_8,AGTRAP,True
RXRB_1,RXRB_2,GOLGA2_ORF2,True
RXRB_1,RXRB_2,GOLGA2_ORF1,True
RXRB_1,RXRB_2,TRIM37,True
FGA_1,FGA_8,MEOX2,True
FGA_1,FGA_5,AGTRAP,True
E2F6_1,E2F6_3,TFDP1,True
RXRB_1,RXRB_3,RARB,True
RXRB_1,RXRB_4,PLSCR1,True
RXRB_1,RXRB_4,RARB,True
CRK_1,CRK_2,TP53BP2,True
NCK1_1,NCK1_2,EFS,True
RXRB_1,RXRB_4,GOLGA2_ORF1,True
NDN_1,NDN_2,MIER2,True
RXRB_1,RXRB_4,RARA_ORF2,True
RXRB_1,RXRB_4,RARA_ORF1,True
RXRB_1,RXRB_4,TRIM27_ORF1,True
RXRB_1,RXRB_3,KRT40,True
CRK_1,CRK_2,ELK3,True
NCK1_1,NCK1_2,SORBS3,True
RXRB_1,RXRB_4,TP53BP2,True
RXRB_1,RXRB_4,NR1H4,True
COL1A2_1,COL1A2_5,KCNIP4,True
RXRB_1,RXRB_4,NR1H3,True
RXRB_1,RXRB_4,CALCOCO2,True
CRK_1,CRK_2,PPFIBP2,True
NDN_1,NDN_2,APBB1IP,True
SLC25A10_1,SLC25A10_2,MDFI,True
NCK1_1,NCK1_2,HOMEZ_ORF2,True
NCK1_1,NCK1_2,ABI2,True
NCK1_1,NCK1_2,FAM22F,True
NCK1_1,NCK1_2,GMPPA,True
RXRB_1,RXRB_3,NR1H4,True
SLC25A10_1,SLC25A10_3,MDFI,True
SLC25A10_1,SLC25A10_3,KRTAP5-9,True
SLC25A10_1,SLC25A10_2,KRTAP5-9,True
CRK_1,CRK_2,ALS2CR12,True
CRK_1,CRK_2,ASAP3,True
CRK_1,CRK_2,DPPA4,True
NDN_1,NDN_2,LAX1,True
MOBP_1,MOBP_2,KRTAP10-8,False
MOBP_1,MOBP_2,KRTAP10-9,False
PHF21B_1,PHF21B_2,TFCP2,False
MOBP_1,MOBP_2,KRTAP10-3,False
HNRPLL_1,HNRPLL_3,HNRNPK_ORF1,False
NCK1_1,NCK1_3,FAM22F,False
ZNF688_1,ZNF688_2,PSMA3,False
ZNF688_1,ZNF688_2,PLSCR1,False
NCK1_1,NCK1_3,WASL,False
NCK1_1,NCK1_3,HOMEZ_ORF2,False
NCK1_1,NCK1_3,SORBS3,False
ZNF688_1,ZNF688_2,PCBD1,False
ZNF688_1,ZNF688_2,MDFI,False
ZNF688_1,ZNF688_2,KRT15,False
ZNF688_1,ZNF688_2,HNRNPK_ORF2,False
ZNF688_1,ZNF688_2,KIFC3,False
NCK1_1,NCK1_3,FASLG,False
NCK1_1,NCK1_3,GMPPA,False
MOBP_1,MOBP_2,KRTAP10-1,False
